Ocupação;Quantitativo;Porcentagem;Data de carga
AGENTE DE VIAGEM E GUIA DE TURISMO;1;0;2025-05-01 03:30:23
Administrador;942;0,0322;2025-05-01 03:30:23
Advogado;2102;0,0718;2025-05-01 03:30:23
Agenciador de Propaganda;8;0,0003;2025-05-01 03:30:23
Agente Administrativo;169;0,0058;2025-05-01 03:30:23
Agente Postal;10;0,0003;2025-05-01 03:30:23
Agente de Saúde e Sanitarista;60;0,0021;2025-05-01 03:30:23
Agente de Serviços Funerários e Embalsamador;3;0,0001;2025-05-01 03:30:23
Agente de Viagem;8;0,0003;2025-05-01 03:30:23
Agricultor;299;0,0102;2025-05-01 03:30:23
Agrônomo;37;0,0013;2025-05-01 03:30:23
Alfaiate e Costureiro;7;0,0002;2025-05-01 03:30:23
Almoxarife;10;0,0003;2025-05-01 03:30:23
Analista de Sistemas;52;0,0018;2025-05-01 03:30:23
Antropólogo;2;0,0001;2025-05-01 03:30:23
Aposentado (Exceto Servidor Público);853;0,0292;2025-05-01 03:30:23
Arqueólogo;1;0;2025-05-01 03:30:23
Arquiteto;50;0,0017;2025-05-01 03:30:23
Artesão;37;0,0013;2025-05-01 03:30:23
Artista Plástico e Assemelhados;21;0,0007;2025-05-01 03:30:23
Artista de Circo;3;0,0001;2025-05-01 03:30:23
Assistente Social;193;0,0066;2025-05-01 03:30:23
Astrônomo;4;0,0001;2025-05-01 03:30:23
Atendente de Lanchonete e Restaurante;3;0,0001;2025-05-01 03:30:23
Atleta Profissional e Técnico em Desportos;26;0,0009;2025-05-01 03:30:23
Ator e Diretor de Espetáculos Públicos;44;0,0015;2025-05-01 03:30:23
Auxiliar de Escritório e Assemelhados;158;0,0054;2025-05-01 03:30:23
Auxiliar de Laboratório;6;0,0002;2025-05-01 03:30:23
Bacteriologista e Assemelhados;1;0;2025-05-01 03:30:23
Bancário e Economiário;70;0,0024;2025-05-01 03:30:23
Bibliotecário;3;0,0001;2025-05-01 03:30:23
Biomédico;15;0,0005;2025-05-01 03:30:23
Biólogo;24;0,0008;2025-05-01 03:30:23
Bombeiro Civil;21;0,0007;2025-05-01 03:30:23
Bombeiro Militar;123;0,0042;2025-05-01 03:30:23
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;2;0,0001;2025-05-01 03:30:23
