Ocupação;Quantitativo;Porcentagem;Data de carga
Historiador;12;0,0007;13/11/2024 10:55
Artista Plástico e Assemelhados;19;0,0011;13/11/2024 10:55
Publicitário;48;0,0027;13/11/2024 10:55
Tradutor, Intérprete e Filólogo;3;0,0002;13/11/2024 10:55
Sociólogo;20;0,0011;13/11/2024 10:55
Frentista;5;0,0003;13/11/2024 10:55
Funileiro;2;0,0001;13/11/2024 10:55
Garçom;19;0,0011;13/11/2024 10:55
Padeiro, Confeiteiro e Assemelhados;9;0,0005;13/11/2024 10:55
Paramédico;1;0,0001;13/11/2024 10:55
Estudante, Bolsista, Estagiário e Assemelhados;361;0,0201;13/11/2024 10:55
Cantor e Compositor;44;0,0024;13/11/2024 10:55
Técnico de Biologia;1;0,0001;13/11/2024 10:55
Carpinteiro, Marceneiro e Assemelhados;14;0,0008;13/11/2024 10:55
Zootecnista;6;0,0003;13/11/2024 10:55
Pecuarista;35;0,0019;13/11/2024 10:55
Técnico de Mecânica;7;0,0004;13/11/2024 10:55
Técnico em Informática;18;0,001;13/11/2024 10:55
Técnico em Edificações;8;0,0004;13/11/2024 10:55
Empresário;1830;0,1018;13/11/2024 10:55
Bancário e Economiário;54;0,003;13/11/2024 10:55
Trabalhador Metalúrgico e Siderúrgico;11;0,0006;13/11/2024 10:55
Policial Civil;127;0,0071;13/11/2024 10:55
Office-Boy e Contínuo;1;0,0001;13/11/2024 10:55
Montador de Máquinas;1;0,0001;13/11/2024 10:55
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);2;0,0001;13/11/2024 10:55
Sacerdote ou Membro de Ordem ou Seita Religiosa;79;0,0044;13/11/2024 10:55
Guia de Turismo;5;0,0003;13/11/2024 10:55
Cabeleireiro e Barbeiro;133;0,0074;13/11/2024 10:55
Supervisor, Inspetor e Agente de Compras e Vendas;24;0,0013;13/11/2024 10:55
Modelo;6;0,0003;13/11/2024 10:55
Comunicólogo;10;0,0006;13/11/2024 10:55
Nutricionista e Assemelhados;17;0,0009;13/11/2024 10:55
Professor e Instrutor de Formação Profissional;74;0,0041;13/11/2024 10:55
Artesão;38;0,0021;13/11/2024 10:55
Agente de Viagem;3;0,0002;13/11/2024 10:55
Vendedor de Comércio Varejista e Atacadista;99;0,0055;13/11/2024 10:55
Tabelião;3;0,0002;13/11/2024 10:55
Agente Postal;6;0,0003;13/11/2024 10:55
Químico;5;0,0003;13/11/2024 10:55
Petroleiro;5;0,0003;13/11/2024 10:55
Economista Doméstico;2;0,0001;13/11/2024 10:55
Comissário de Bordo;1;0,0001;13/11/2024 10:55
Artista de Circo;6;0,0003;13/11/2024 10:55
Escultor e Pintor;4;0,0002;13/11/2024 10:55
Corretor de Imóveis, Seguros, Títulos e Valores;174;0,0097;13/11/2024 10:55
Vigilante;122;0,0068;13/11/2024 10:55
Enfermeiro;143;0,008;13/11/2024 10:55
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);89;0,005;13/11/2024 10:55
Serventuário de Justiça;7;0,0004;13/11/2024 10:55
Capitalista de Ativos Financeiros;1;0,0001;13/11/2024 10:55
Almoxarife;4;0,0002;13/11/2024 10:55
Lanterneiro e Pintor de Veículos;2;0,0001;13/11/2024 10:55
Salva-Vidas;1;0,0001;13/11/2024 10:55
Detetive Particular;6;0,0003;13/11/2024 10:55
Leiturista;1;0,0001;13/11/2024 10:55
Motorista Particular;119;0,0066;13/11/2024 10:55
Aposentado (Exceto Servidor Público);477;0,0265;13/11/2024 10:55
Engraxate;1;0,0001;13/11/2024 10:55
Auxiliar de Laboratório;6;0,0003;13/11/2024 10:55
Técnico de Eletricidade, Eletrônica e Telecomunicações;17;0,0009;13/11/2024 10:55
Faxineiro;10;0,0006;13/11/2024 10:55
Prefeito;6;0,0003;13/11/2024 10:55
Contador;130;0,0072;13/11/2024 10:55
Taxista;57;0,0032;13/11/2024 10:55
Militar Reformado;123;0,0068;13/11/2024 10:55
Servidor Público Civil Aposentado;80;0,0045;13/11/2024 10:55
Desenhista;5;0,0003;13/11/2024 10:55
Pescador;23;0,0013;13/11/2024 10:55
Operador de Equipamento de Rádio, Televisão, Som e Cinema;2;0,0001;13/11/2024 10:55
Atleta Profissional e Técnico em Desportos;18;0,001;13/11/2024 10:55
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;11;0,0006;13/11/2024 10:55
Trabalhador de Fabricação, Vulcanização e Reparação de Pneumáticos;1;0,0001;13/11/2024 10:55
Trabalhador de Hotelaria;1;0,0001;13/11/2024 10:55
Médico;372;0,0207;13/11/2024 10:55
Jardineiro;3;0,0002;13/11/2024 10:55
Policial Militar;386;0,0215;13/11/2024 10:55
Dona de Casa;324;0,018;13/11/2024 10:55
Gerente;89;0,005;13/11/2024 10:55
Analista de Sistemas;27;0,0015;13/11/2024 10:55
Operador de Aparelhos de Produção Industrial;12;0,0007;13/11/2024 10:55
Gari ou Lixeiro;16;0,0009;13/11/2024 10:55
Ceramista e Oleiro;1;0,0001;13/11/2024 10:55
Agente Administrativo;87;0,0048;13/11/2024 10:55
Assistente Social;128;0,0071;13/11/2024 10:55
Antropólogo;2;0,0001;13/11/2024 10:55
Economista;53;0,0029;13/11/2024 10:55
Garimpeiro;3;0,0002;13/11/2024 10:55
Matemático e Atuário;2;0,0001;13/11/2024 10:55
Manicure e Maquilador;11;0,0006;13/11/2024 10:55
Tapeceiro;1;0,0001;13/11/2024 10:55
Oceanógrafo;5;0,0003;13/11/2024 10:55
Fiscal;18;0,001;13/11/2024 10:55
Músico;64;0,0036;13/11/2024 10:55
Cozinheiro;33;0,0018;13/11/2024 10:55
Secretário e Datilógrafo;59;0,0033;13/11/2024 10:55
Fisioterapeuta e Terapeuta Ocupacional;35;0,0019;13/11/2024 10:55
Cobrador de Transporte Coletivo;15;0,0008;13/11/2024 10:55
Pedagogo;112;0,0062;13/11/2024 10:55
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;2;0,0001;13/11/2024 10:55
Recepcionista;24;0,0013;13/11/2024 10:55
Técnico de Química;3;0,0002;13/11/2024 10:55
Arquivista e Museólogo;2;0,0001;13/11/2024 10:55
Torneiro Mecânico;4;0,0002;13/11/2024 10:55
Ferroviário;3;0,0002;13/11/2024 10:55
Agrônomo;21;0,0012;13/11/2024 10:55
Geólogo;3;0,0002;13/11/2024 10:55
Engenheiro;189;0,0105;13/11/2024 10:55
Administrador;396;0,022;13/11/2024 10:55
Porteiro de Edifício, Ascensorista, Garagista e Zelador;21;0,0012;13/11/2024 10:55
Magistrado;3;0,0002;13/11/2024 10:55
Servidor Público Municipal;334;0,0186;13/11/2024 10:55
Encanador, Soldador, Chapeador e Caldeireiro;6;0,0003;13/11/2024 10:55
Governanta;1;0,0001;13/11/2024 10:55
Motorista de Veículos de Transporte de Carga;43;0,0024;13/11/2024 10:55
Veterinário;34;0,0019;13/11/2024 10:55
Bombeiro Militar;55;0,0031;13/11/2024 10:55
Operador de Computador;5;0,0003;13/11/2024 10:55
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;4;0,0002;13/11/2024 10:55
Eletricista e Assemelhados;41;0,0023;13/11/2024 10:55
Embalador, Empacotador e Assemelhados;1;0,0001;13/11/2024 10:55
Comandante de Embarcações;1;0,0001;13/11/2024 10:55
Escritor e Crítico;14;0,0008;13/11/2024 10:55
Trabalhador Florestal;2;0,0001;13/11/2024 10:55
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;152;0,0085;13/11/2024 10:55
Advogado;926;0,0515;13/11/2024 10:55
