Ocupação;Quantitativo;Porcentagem;Ano
Estudante, Bolsista, Estagiário e Assemelhados;230;0,0228;1998
Sociólogo;11;0,0011;1998
Delegado de Policia;54;0,0054;1998
Publicitário;35;0,0035;1998
Cantor e Compositor;10;0,001;1998
Técnico de Mecânica;7;0,0007;1998
Profissionais de Letras e de Artes;2;0,0002;1998
Comissario de Bordo;1;0,0001;1998
Técnico de Biologia;2;0,0002;1998
Porteiro de Edifício, Ascensorista, Garagista e Faxineiro;12;0,0012;1998
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;94;0,0093;1998
Bancário e Economiário;155;0,0154;1998
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;24;0,0024;1998
Trabalhador dos Servicos de Contabilidade, de Caixa e Assemelhados;7;0,0007;1998
Comunicólogo;7;0,0007;1998
Agenciador de Propaganda;1;0,0001;1998
Vendedor de Comércio Varejista e Atacadista;176;0,0174;1998
Jornalista;117;0,0116;1998
Proprietário de Estabelecimento Industrial;75;0,0074;1998
Tabelião;5;0,0005;1998
Relações Públicas;6;0,0006;1998
Trabalhador de Fabricação de Artefatos de Madeira;9;0,0009;1998
Químico;6;0,0006;1998
Marinheiro e Assemelhados;8;0,0008;1998
Procurador d Assemelhados;14;0,0014;1998
Membros do Poder Executivo: Presidente, Ministro, Governador, Prefeito;24;0,0024;1998
Serventuário de Justiça;25;0,0025;1998
Tecnólogo;4;0,0004;1998
Membros do Poder Legislativo: Senador, Deputados e Vereador;444;0,044;1998
Técnico de Eletricidade, Eletrônica e Telecomunicações;43;0,0043;1998
Trabalhador de Artes Gráficas;6;0,0006;1998
Eletricista de Manutenção de Veículos Automotores e Aparelhos;1;0,0001;1998
Oficiais das Forças Armadas e Forças Auxiliares;1;0,0001;1998
Contador;88;0,0087;1998
Militar Reformado;37;0,0037;1998
Ocupante de Cargo de Direção e Assessoramento Superior;6;0,0006;1998
Estivador, Carregador, Embalador e Assemelhados;8;0,0008;1998
Atleta Profissional e Técnico em Desportos;7;0,0007;1998
Supervisores, Inspetor e Agente de Compras e Vendas;4;0,0004;1998
Médico;600;0,0595;1998
Professor de Ensino de Primeiro e Segundo Graus;230;0,0228;1998
Desenhista Comercial;14;0,0014;1998
Assistente Social;24;0,0024;1998
Economista;91;0,009;1998
Agente Administrativo;13;0,0013;1998
Lanterneiro e Pintor de Veículos Metálicos;9;0,0009;1998
Analista de Sistemas;18;0,0018;1998
Gerente;36;0,0036;1998
Trabalhador de Fabricação de Papel e Papelão;1;0,0001;1998
Garimpeiro;3;0,0003;1998
Proprietário de Microempresa;35;0,0035;1998
Sacerdote ou Membro de Ordens ou Seitas Religiosas;67;0,0066;1998
Fisioterapeuta e Terapeuta Ocupacional;11;0,0011;1998
Técnico de Contabilidade e de Estatística;42;0,0042;1998
Músico;13;0,0013;1998
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;6;0,0006;1998
Despachante, Inclusive o Aduaneiro;10;0,001;1998
Fiscal;11;0,0011;1998
Trabalhador da Pecuária;15;0,0015;1998
Técnico de Química;4;0,0004;1998
Biólogo e Biomédico;7;0,0007;1998
Administrador;105;0,0104;1998
Enfermeiro e Nutricionista;50;0,005;1998
Engenheiro;273;0,0271;1998
Agrônomo;48;0,0048;1998
Maquinista e Foguista de Embarcações, Locomotivas e Assemelhados;4;0,0004;1998
Servidor Público Municipal;61;0,006;1998
Geólogo;9;0,0009;1998
Eletricista e Assemelhados;30;0,003;1998
Desenhista Técnico;5;0,0005;1998
Motorista de Veículos de Transporte de Carga;6;0,0006;1998
Trabalhador Florestal;1;0,0001;1998
Trabalhador de Fabricação de Calçaados e Artefatos de Couro;1;0,0001;1998
Bibliotecário, Arquivista, Museólogo E Arqueólogo;1;0,0001;1998
Advogado;853;0,0845;1998
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;79;0,0078;1998
Motorista de Veículos de Transporte de Passageiros;119;0,0118;1998
Mecânico de Manutenção, Operador de Aparelhos de Produção Industrial;22;0,0022;1998
Técnico de Laboratório e Raios X;10;0,001;1998
Geógrafo;5;0,0005;1998
Ocupante de Cargo de Direção e Assessoramento Intermediário;3;0,0003;1998
Militar Em Geral;284;0,0281;1998
Trabalhador Agrícola;110;0,0109;1998
Pensionista;17;0,0017;1998
Proprietário de Estabelecimento de Prestação de Servicos;5;0,0005;1998
Governanta de Hotel, Camareiro, Porteiro, Cozinheiro e Garcom;8;0,0008;1998
Protético;9;0,0009;1998
Mestre e Contramestre;2;0,0002;1998
Feirante;4;0,0004;1998
Trabalhador da Pesca;1;0,0001;1998
Mecanico de Manutenção de Veículos Automotores e Máquinas;31;0,0031;1998
Diretor de Estabelecimento de Ensino;6;0,0006;1998
Decorador;2;0,0002;1998
Auxiliar de Escritório e Assemelhados;51;0,0051;1998
