Ocupação;Quantitativo;Porcentagem;Data de carga
Carpinteiro, Marceneiro e Assemelhados;3;0,0005;01/03/2023 13:21
Estudante, Bolsista, Estagiário e Assemelhados;102;0,017;01/03/2023 13:21
Cantor e Compositor;33;0,0055;01/03/2023 13:21
Técnico em Informática;7;0,0012;01/03/2023 13:21
Artista Plástico e Assemelhados;7;0,0012;01/03/2023 13:21
Pecuarista;10;0,0017;01/03/2023 13:21
Sociólogo;4;0,0007;01/03/2023 13:21
Técnico de Mecânica;2;0,0003;01/03/2023 13:21
Publicitário;26;0,0043;01/03/2023 13:21
Tradutor, Intérprete e Filólogo;1;0,0002;01/03/2023 13:21
Historiador;6;0,001;01/03/2023 13:21
Garçom;4;0,0007;01/03/2023 13:21
Padeiro, Confeiteiro e Assemelhados;1;0,0002;01/03/2023 13:21
Zootecnista;1;0,0002;01/03/2023 13:21
Frentista;2;0,0003;01/03/2023 13:21
Estivador, Carregador e Assemelhados;1;0,0002;01/03/2023 13:21
Bancário e Economiário;34;0,0057;01/03/2023 13:21
Empresário;570;0,0948;01/03/2023 13:21
Sacerdote ou Membro de Ordem ou Seita Religiosa;35;0,0058;01/03/2023 13:21
Cabeleireiro e Barbeiro;24;0,004;01/03/2023 13:21
Policial Civil;35;0,0058;01/03/2023 13:21
Comunicólogo;3;0,0005;01/03/2023 13:21
Office-Boy e Contínuo;1;0,0002;01/03/2023 13:21
Supervisor, Inspetor e Agente de Compras e Vendas;6;0,001;01/03/2023 13:21
Nutricionista e Assemelhados;1;0,0002;01/03/2023 13:21
Trabalhador Metalúrgico e Siderúrgico;5;0,0008;01/03/2023 13:21
Guia de Turismo;2;0,0003;01/03/2023 13:21
Leiloeiro, Avaliador e Assemelhados;1;0,0002;01/03/2023 13:21
Modelo;1;0,0002;01/03/2023 13:21
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);1;0,0002;01/03/2023 13:21
Agenciador de Propaganda;1;0,0002;01/03/2023 13:21
Professor e Instrutor de Formação Profissional;25;0,0042;01/03/2023 13:21
Agente Postal;5;0,0008;01/03/2023 13:21
Vendedor de Comércio Varejista e Atacadista;26;0,0043;01/03/2023 13:21
Artesão;8;0,0013;01/03/2023 13:21
Diplomata;2;0,0003;01/03/2023 13:21
Senador;6;0,001;01/03/2023 13:21
Agente de Viagem;5;0,0008;01/03/2023 13:21
Petroleiro;6;0,001;01/03/2023 13:21
Químico;3;0,0005;01/03/2023 13:21
Tabelião;1;0,0002;01/03/2023 13:21
Corretor de Imóveis, Seguros, Títulos e Valores;62;0,0103;01/03/2023 13:21
Vigilante;26;0,0043;01/03/2023 13:21
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);9;0,0015;01/03/2023 13:21
Almoxarife;2;0,0003;01/03/2023 13:21
Enfermeiro;26;0,0043;01/03/2023 13:21
Detetive Particular;1;0,0002;01/03/2023 13:21
Serventuário de Justiça;2;0,0003;01/03/2023 13:21
Escultor e Pintor;1;0,0002;01/03/2023 13:21
Aposentado (Exceto Servidor Público);150;0,0249;01/03/2023 13:21
Motorista Particular;27;0,0045;01/03/2023 13:21
Técnico de Eletricidade, Eletrônica e Telecomunicações;6;0,001;01/03/2023 13:21
Faxineiro;2;0,0003;01/03/2023 13:21
Trabalhador de Artes Gráficas;1;0,0002;01/03/2023 13:21
Prefeito;1;0,0002;01/03/2023 13:21
Militar Reformado;56;0,0093;01/03/2023 13:21
Contador;54;0,009;01/03/2023 13:21
Servidor Público Civil Aposentado;27;0,0045;01/03/2023 13:21
Taxista;10;0,0017;01/03/2023 13:21
Atleta Profissional e Técnico em Desportos;8;0,0013;01/03/2023 13:21
Desenhista;2;0,0003;01/03/2023 13:21
Operador de Equipamento de Rádio, Televisão, Som e Cinema;2;0,0003;01/03/2023 13:21
Pescador;6;0,001;01/03/2023 13:21
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;1;0,0002;01/03/2023 13:21
Trabalhador de Fabricação de Produtos de Borracha e Plástico;1;0,0002;01/03/2023 13:21
Médico;183;0,0304;01/03/2023 13:21
Economista;38;0,0063;01/03/2023 13:21
Dona de Casa;113;0,0188;01/03/2023 13:21
Manicure e Maquilador;4;0,0007;01/03/2023 13:21
Agente Administrativo;44;0,0073;01/03/2023 13:21
Policial Militar;118;0,0196;01/03/2023 13:21
Assistente Social;18;0,003;01/03/2023 13:21
Gerente;26;0,0043;01/03/2023 13:21
Analista de Sistemas;6;0,001;01/03/2023 13:21
Operador de Aparelhos de Produção Industrial;8;0,0013;01/03/2023 13:21
Gari ou Lixeiro;1;0,0002;01/03/2023 13:21
Fiscal de Transporte Coletivo;1;0,0002;01/03/2023 13:21
Músico;17;0,0028;01/03/2023 13:21
Torneiro Mecânico;2;0,0003;01/03/2023 13:21
Pedagogo;36;0,006;01/03/2023 13:21
Secretário e Datilógrafo;32;0,0053;01/03/2023 13:21
Fisioterapeuta e Terapeuta Ocupacional;6;0,001;01/03/2023 13:21
Fiscal;13;0,0022;01/03/2023 13:21
Cobrador de Transporte Coletivo;2;0,0003;01/03/2023 13:21
Cozinheiro;10;0,0017;01/03/2023 13:21
Recepcionista;13;0,0022;01/03/2023 13:21
Taquígrafo e Estenógrafo;1;0,0002;01/03/2023 13:21
