Ocupação;Quantitativo;Porcentagem;Ano
Publicitário;7;0,002;1998
Estudante, Bolsista, Estagiário e Assemelhados;47;0,0136;1998
Cantor e Compositor;5;0,0014;1998
Delegado de Policia;12;0,0035;1998
Técnico de Mecânica;3;0,0009;1998
Sociólogo;6;0,0017;1998
Profissionais de Letras e de Artes;1;0,0003;1998
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;29;0,0084;1998
Bancário e Economiário;50;0,0145;1998
Comunicólogo;3;0,0009;1998
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;5;0,0014;1998
Vendedor de Comércio Varejista e Atacadista;43;0,0125;1998
Jornalista;54;0,0157;1998
Relações Públicas;4;0,0012;1998
Proprietário de Estabelecimento Industrial;39;0,0113;1998
Trabalhador de Fabricação de Artefatos de Madeira;1;0,0003;1998
Diplomata;2;0,0006;1998
Químico;3;0,0009;1998
Serventuário de Justiça;9;0,0026;1998
Membros do Poder Executivo: Presidente, Ministro, Governador, Prefeito;5;0,0014;1998
Procurador d Assemelhados;7;0,002;1998
Tecnólogo;2;0,0006;1998
Oficiais das Forças Armadas e Forças Auxiliares;6;0,0017;1998
Membros do Poder Legislativo: Senador, Deputados e Vereador;234;0,0678;1998
Trabalhador de Artes Gráficas;2;0,0006;1998
Técnico de Eletricidade, Eletrônica e Telecomunicações;13;0,0038;1998
Contador;29;0,0084;1998
Supervisores, Inspetor e Agente de Compras e Vendas;2;0,0006;1998
Militar Reformado;13;0,0038;1998
Ocupante de Cargo de Direção e Assessoramento Superior;2;0,0006;1998
Atleta Profissional e Técnico em Desportos;2;0,0006;1998
Estivador, Carregador, Embalador e Assemelhados;2;0,0006;1998
Professor de Ensino de Primeiro e Segundo Graus;84;0,0244;1998
Médico;195;0,0565;1998
Economista;68;0,0197;1998
Gerente;10;0,0029;1998
Analista de Sistemas;7;0,002;1998
Desenhista Industrial;1;0,0003;1998
Agente Administrativo;5;0,0014;1998
Desenhista Comercial;2;0,0006;1998
Assistente Social;7;0,002;1998
Garimpeiro;1;0,0003;1998
Técnico de Química;2;0,0006;1998
Proprietário de Microempresa;21;0,0061;1998
Despachante, Inclusive o Aduaneiro;3;0,0009;1998
Técnico de Contabilidade e de Estatística;9;0,0026;1998
Músico;2;0,0006;1998
Fisioterapeuta e Terapeuta Ocupacional;2;0,0006;1998
Sacerdote ou Membro de Ordens ou Seitas Religiosas;30;0,0087;1998
Trabalhador da Pecuária;6;0,0017;1998
Fiscal;5;0,0014;1998
Biólogo e Biomédico;2;0,0006;1998
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;1;0,0003;1998
Administrador;50;0,0145;1998
Engenheiro;138;0,04;1998
Servidor Público Municipal;23;0,0067;1998
Eletricista e Assemelhados;11;0,0032;1998
Enfermeiro e Nutricionista;10;0,0029;1998
Desenhista Técnico;2;0,0006;1998
Geólogo;8;0,0023;1998
Maquinista e Foguista de Embarcações, Locomotivas e Assemelhados;3;0,0009;1998
Agrônomo;10;0,0029;1998
Bibliotecário, Arquivista, Museólogo E Arqueólogo;1;0,0003;1998
Motorista de Veículos de Transporte de Carga;1;0,0003;1998
Trabalhador de Fabricação de Calçaados e Artefatos de Couro;1;0,0003;1998
Advogado;415;0,1203;1998
Mecânico de Manutenção, Operador de Aparelhos de Produção Industrial;2;0,0006;1998
Geógrafo;2;0,0006;1998
Motorista de Veículos de Transporte de Passageiros;23;0,0067;1998
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;13;0,0038;1998
Técnico de Laboratório e Raios X;2;0,0006;1998
Proprietário de Estabelecimento de Prestação de Servicos;2;0,0006;1998
Militar Em Geral;90;0,0261;1998
Trabalhador Agrícola;19;0,0055;1998
Agente de Serviços Funerários e Embalsamador;1;0,0003;1998
Protético;2;0,0006;1998
