Ocupação;Quantitativo;Porcentagem;Data de carga
Trabalhador Metalúrgico e Siderúrgico;1;0,0054;23/06/2021 18:50
Empresário;16;0,0865;23/06/2021 18:50
Policial Civil;1;0,0054;23/06/2021 18:50
Sacerdote ou Membro de Ordem ou Seita Religiosa;2;0,0108;23/06/2021 18:50
Senador;9;0,0486;23/06/2021 18:50
Agente Postal;1;0,0054;23/06/2021 18:50
Petroleiro;1;0,0054;23/06/2021 18:50
Diplomata;1;0,0054;23/06/2021 18:50
Professor e Instrutor de Formação Profissional;1;0,0054;23/06/2021 18:50
Aposentado (Exceto Servidor Público);6;0,0324;23/06/2021 18:50
Servidor Público Civil Aposentado;2;0,0108;23/06/2021 18:50
Governador;1;0,0054;23/06/2021 18:50
Militar Reformado;1;0,0054;23/06/2021 18:50
Contador;1;0,0054;23/06/2021 18:50
Policial Militar;2;0,0108;23/06/2021 18:50
Médico;3;0,0162;23/06/2021 18:50
Economista;4;0,0216;23/06/2021 18:50
Antropólogo;1;0,0054;23/06/2021 18:50
Pedagogo;1;0,0054;23/06/2021 18:50
Torneiro Mecânico;1;0,0054;23/06/2021 18:50
Músico;1;0,0054;23/06/2021 18:50
Engenheiro;3;0,0162;23/06/2021 18:50
Administrador;5;0,027;23/06/2021 18:50
Servidor Público Municipal;4;0,0216;23/06/2021 18:50
Veterinário;1;0,0054;23/06/2021 18:50
Porteiro de Edifício, Ascensorista, Garagista e Zelador;1;0,0054;23/06/2021 18:50
Advogado;16;0,0865;23/06/2021 18:50
Professor de Ensino Médio;9;0,0486;23/06/2021 18:50
Membro do Ministério Público;1;0,0054;23/06/2021 18:50
Geógrafo;1;0,0054;23/06/2021 18:50
Técnico de Laboratório e Raios X;1;0,0054;23/06/2021 18:50
Trabalhador Rural;1;0,0054;23/06/2021 18:50
Vereador;3;0,0162;23/06/2021 18:50
Professor de Ensino Fundamental;3;0,0162;23/06/2021 18:50
Farmacêutico;1;0,0054;23/06/2021 18:50
Produtor Agropecuário;1;0,0054;23/06/2021 18:50
Deputado;20;0,1081;23/06/2021 18:50
Servidor Público Estadual;12;0,0649;23/06/2021 18:50
Professor de Ensino Superior;13;0,0703;23/06/2021 18:50
Comerciante;2;0,0108;23/06/2021 18:50
Servidor Público Federal;9;0,0486;23/06/2021 18:50
Jornalista e Redator;3;0,0162;23/06/2021 18:50
Terapeuta;1;0,0054;23/06/2021 18:50
