Ocupação;Quantitativo;Porcentagem;Ano
Estudante, Bolsista, Estagiário e Assemelhados;1;0,0057;1998
Sociólogo;1;0,0057;1998
Publicitário;1;0,0057;1998
Bancário e Economiário;3;0,0171;1998
Proprietário de Estabelecimento Industrial;2;0,0114;1998
Jornalista;7;0,04;1998
Vendedor de Comércio Varejista e Atacadista;1;0,0057;1998
Membros do Poder Legislativo: Senador, Deputados e Vereador;16;0,0914;1998
Técnico de Eletricidade, Eletrônica e Telecomunicações;1;0,0057;1998
Atleta Profissional e Técnico em Desportos;1;0,0057;1998
Militar Reformado;1;0,0057;1998
Médico;10;0,0571;1998
Economista;3;0,0171;1998
Professor de Ensino de Primeiro e Segundo Graus;5;0,0286;1998
Assistente Social;1;0,0057;1998
Proprietário de Microempresa;1;0,0057;1998
Administrador;4;0,0229;1998
Eletricista e Assemelhados;1;0,0057;1998
Engenheiro;5;0,0286;1998
Agrônomo;1;0,0057;1998
Geólogo;1;0,0057;1998
Enfermeiro e Nutricionista;1;0,0057;1998
Advogado;32;0,1829;1998
Militar Em Geral;1;0,0057;1998
Trabalhador Agrícola;1;0,0057;1998
Membros do Poder Judiciário: Ministro de Tribunal Superior, Magistrado;1;0,0057;1998
Diretor de Empresas;1;0,0057;1998
Empresário e Produtor de Espetáculos Públicos;5;0,0286;1998
Odontólogo;3;0,0171;1998
Professor de Ensino Superior;12;0,0686;1998
Servidor Público Estadual;6;0,0343;1998
Proprietário de Estabelecimento Comercial;6;0,0343;1998
Psicólogo;1;0,0057;1998
Trabalhador de Construção Civil;2;0,0114;1998
Servidor Público Federal;5;0,0286;1998
Arquiteto;3;0,0171;1998
SERVIDOR PUBLICO ESTADUAL;4;0,0115;2002
PROFESSOR DE ENSINO SUPERIOR;8;0,0229;2002
FARMACEUTICO;1;0,0029;2002
ADVOGADO;40;0,1146;2002
AGRICULTOR;2;0,0057;2002
SERVIDOR PUBLICO CIVIL APOSENTADO;5;0,0143;2002
COMUNICOLOGO;1;0,0029;2002
QUIMICO;1;0,0029;2002
MEMBRO DO MINISTERIO PUBLICO;1;0,0029;2002
TRABALHADOR DE CONSTRUCAO CIVIL;1;0,0029;2002
PRODUTOR AGROPECUARIO;1;0,0029;2002
SERVIDOR PUBLICO FEDERAL;13;0,0372;2002
ENGENHEIRO;16;0,0458;2002
BANCARIO E ECONOMIARIO;3;0,0086;2002
COMERCIARIO;2;0,0057;2002
ECONOMISTA;9;0,0258;2002
MINISTRO DO PODER JUDICIARIO E MAGISTRADO;1;0,0029;2002
PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;20;0,0573;2002
ODONTOLOGO;2;0,0057;2002
MEMBRO DAS FORCAS ARMADAS;2;0,0057;2002
POLICIAL CIVIL;2;0,0057;2002
ARQUITETO;2;0,0057;2002
ADMINISTRADOR;4;0,0115;2002
ZOOTECNISTA;1;0,0029;2002
MARINHEIRO CIVIL, CANOEIRO, EMBARCADO E ASSEMELHADOS;1;0,0029;2002
ENFERMEIRO;1;0,0029;2002
POLICIAL MILITAR;1;0,0029;2002
FOTOGRAFO E TRABALHADOR ASSEMELHADO;1;0,0029;2002
EMPRESARIO E PRODUTOR DE ESPETACULOS PUBLICOS;1;0,0029;2002
SECRETARIO,ESTENOGRAFO,DATILOGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUIGRAF;2;0,0057;2002
TECNICO DE ENFERMAGEM E TRABALHADOR ASSEMELHADO (EXCETO ENFERMEIRO);1;0,0029;2002
GEOLOGO;1;0,0029;2002
DIRETOR DE EMPRESAS;1;0,0029;2002
TRABALHADOR DE USINAGEM DE METAIS;1;0,0029;2002
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;1;0,0029;2002
MEDICO;14;0,0401;2002
FISCAL;1;0,0029;2002
SOCIOLOGO;3;0,0086;2002
TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES;2;0,0057;2002
APOSENTADO (EXCETO SERVIDOR PUBLICO);3;0,0086;2002
SERVIDOR PUBLICO MUNICIPAL;1;0,0029;2002
AGENTE POSTAL;2;0,0057;2002
ANALISTA DE SISTEMAS;1;0,0029;2002
CONTADOR;2;0,0057;2002
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;1;0,0029;2002
JORNALISTA E REDATOR;16;0,0458;2002
PUBLICITARIO;1;0,0029;2002
EMPRESARIO;20;0,0573;2002
COMERCIANTE;8;0,0229;2002
PECUARISTA;4;0,0115;2002
MILITAR REFORMADO;2;0,0057;2002
LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;1;0,0029;2002
SENADOR, DEPUTADO E VEREADOR;51;0,1461;2002
AGENTE ADMINISTRATIVO;2;0,0057;2002
MECANICO DE MANUTENCAO;1;0,0029;2002
AGRONOMO;3;0,0086;2002
TRABALHADOR METALURGICO E SIDERURGICO;3;0,0086;2002
MUSICO;1;0,0029;2002
Pecuarista;5;0,0229;2006
Publicitário;1;0,0046;2006
Historiador;1;0,0046;2006
Artista Plástico e Assemelhados;1;0,0046;2006
Técnico de Mecânica;1;0,0046;2006
Padeiro, Confeiteiro e Assemelhados;2;0,0092;2006
Técnico em Informática;1;0,0046;2006
Cantor e Compositor;1;0,0046;2006
Empresário;15;0,0688;2006
Policial Civil;1;0,0046;2006
Trabalhador Metalúrgico e Siderúrgico;1;0,0046;2006
Bancário e Economiário;2;0,0092;2006
Sacerdote ou Membro de Ordem ou Seita Religiosa;1;0,0046;2006
Senador;10;0,0459;2006
Agente Postal;1;0,0046;2006
Petroleiro;2;0,0092;2006
Vendedor de Comércio Varejista e Atacadista;1;0,0046;2006
Professor e Instrutor de Formação Profissional;1;0,0046;2006
Aposentado (Exceto Servidor Público);3;0,0138;2006
Motorista Particular;1;0,0046;2006
Militar Reformado;1;0,0046;2006
Desenhista;1;0,0046;2006
Servidor Público Civil Aposentado;2;0,0092;2006
Economista;6;0,0275;2006
Médico;10;0,0459;2006
Assistente Social;2;0,0092;2006
Policial Militar;5;0,0229;2006
Analista de Sistemas;1;0,0046;2006
Cobrador de Transporte Coletivo;1;0,0046;2006
Pedagogo;2;0,0092;2006
Músico;1;0,0046;2006
Eletricista e Assemelhados;1;0,0046;2006
Servidor Público Municipal;1;0,0046;2006
