Ocupação;Quantitativo;Porcentagem;Data de carga
AGENCIADOR DE PROPAGANDA;58;0,0002;02/03/2023 09:45
AGENTE ADMINISTRATIVO;950;0,0026;02/03/2023 09:45
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;2546;0,0069;02/03/2023 09:45
Administrador;1669;0,0045;02/03/2023 09:45
Advogado;6014;0,0163;02/03/2023 09:45
Agente de Serviços Funerários e Embalsamador;38;0,0001;02/03/2023 09:45
Agente de Viagem e Guia de Turismo;122;0,0003;02/03/2023 09:45
Agrônomo;559;0,0015;02/03/2023 09:45
Alfaiate;213;0,0006;02/03/2023 09:45
Analista de Sistemas;191;0,0005;02/03/2023 09:45
Aposentado (Exceto Funcionário Público);10467;0,0284;02/03/2023 09:45
Arquiteto;209;0,0006;02/03/2023 09:45
Assistente Social;397;0,0011;02/03/2023 09:45
Astrônomo e Meteorologista;1;0;02/03/2023 09:45
Atleta Profissional e Técnico em Desportos;136;0,0004;02/03/2023 09:45
Ator e Diretor de Espetáculos Públicos;76;0,0002;02/03/2023 09:45
Atuário e Matemático;6;0;02/03/2023 09:45
Auxiliar de Laboratório;370;0,001;02/03/2023 09:45
BANCARIO E ECONOMIARIO;1544;0,0042;02/03/2023 09:45
Bibliotecário, Arquivista, Museólogo E Arqueólogo;48;0,0001;02/03/2023 09:45
Biólogo e Biomédico;118;0,0003;02/03/2023 09:45
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;213;0,0006;02/03/2023 09:45
CHEFE INTERMEDIARIO;145;0,0004;02/03/2023 09:45
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;1362;0,0037;02/03/2023 09:45
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;2205;0,006;02/03/2023 09:45
Cantor e Compositor;156;0,0004;02/03/2023 09:45
Capitalista de Ativos Financeiros;23;0,0001;02/03/2023 09:45
Comandante de Embarcações;14;0;02/03/2023 09:45
Comissario de Bordo;7;0;02/03/2023 09:45
Comunicólogo;61;0,0002;02/03/2023 09:45
Contador;1870;0,0051;02/03/2023 09:45
Contramestre de Embarcações;18;0;02/03/2023 09:45
Coreógrafo e Bailarino;18;0;02/03/2023 09:45
DECORADOR;68;0,0002;02/03/2023 09:45
DELEGADO DE POLICIA;242;0,0007;02/03/2023 09:45
DEMONSTRADOR;13;0;02/03/2023 09:45
DIPLOMATA;1;0;02/03/2023 09:45
DIRETOR DE EMPRESAS;333;0,0009;02/03/2023 09:45
DONA DE CASA;9171;0,0249;02/03/2023 09:45
Desenhista Comercial;121;0,0003;02/03/2023 09:45
Desenhista Industrial;32;0,0001;02/03/2023 09:45
Desenhista Técnico;154;0,0004;02/03/2023 09:45
Despachante, Inclusive o Aduaneiro;434;0,0012;02/03/2023 09:45
Diretor de Estabelecimento de Ensino;299;0,0008;02/03/2023 09:45
Economista;425;0,0012;02/03/2023 09:45
Eletricista de Manutenção de Veículos Automotores e Aparelhos;270;0,0007;02/03/2023 09:45
Eletricista e Assemelhados;1991;0,0054;02/03/2023 09:45
Empregado Doméstico;1242;0,0034;02/03/2023 09:45
Empresário e Produtor de Espetáculos Públicos;1565;0,0042;02/03/2023 09:45
Enfermeiro e Nutricionista;2069;0,0056;02/03/2023 09:45
Engenheiro;1706;0,0046;02/03/2023 09:45
Escultor, Pintor e Assemelhados;361;0,001;02/03/2023 09:45
Espólio;1;0;02/03/2023 09:45
Estatístico;6;0;02/03/2023 09:45
Estivador, Carregador, Embalador e Assemelhados;193;0,0005;02/03/2023 09:45
Estudante, Bolsista, Estagiário e Assemelhados;6320;0,0171;02/03/2023 09:45
FEIRANTE;245;0,0007;02/03/2023 09:45
FISCAL;350;0,0009;02/03/2023 09:45
Farmacêutico;338;0,0009;02/03/2023 09:45
Fisioterapeuta e Terapeuta Ocupacional;144;0,0004;02/03/2023 09:45
Fonoaudiólogo;10;0;02/03/2023 09:45
Funcionário Público Civil Aposentado;2202;0,006;02/03/2023 09:45
Físico;2;0;02/03/2023 09:45
GERENTE;1033;0,0028;02/03/2023 09:45
Garimpeiro;160;0,0004;02/03/2023 09:45
Geógrafo;24;0,0001;02/03/2023 09:45
Geólogo;26;0,0001;02/03/2023 09:45
Governanta de Hotel, Camareiro, Porteiro, Cozinheiro e Garcom;404;0,0011;02/03/2023 09:45
JORNALEIRO;57;0,0002;02/03/2023 09:45
Joalheiros e Ourives;64;0,0002;02/03/2023 09:45
Jornalista;572;0,0016;02/03/2023 09:45
LEILOEIRO, AVALIADOR E ASSEMELHADOS;15;0;02/03/2023 09:45
Lanterneiro e Pintor de Veículos Metálicos;263;0,0007;02/03/2023 09:45
