Ocupação;Quantitativo;Porcentagem;Ano
AGENCIADOR DE PROPAGANDA;58;0,0002;2000
AGENTE ADMINISTRATIVO;950;0,0026;2000
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;2546;0,0069;2000
Administrador;1669;0,0045;2000
Advogado;6014;0,0163;2000
Agente de Serviços Funerários e Embalsamador;38;0,0001;2000
Agente de Viagem e Guia de Turismo;122;0,0003;2000
Agrônomo;559;0,0015;2000
Alfaiate;213;0,0006;2000
Analista de Sistemas;191;0,0005;2000
Aposentado (Exceto Funcionário Público);10467;0,0284;2000
Arquiteto;209;0,0006;2000
Assistente Social;397;0,0011;2000
Astrônomo e Meteorologista;1;0;2000
Atleta Profissional e Técnico em Desportos;136;0,0004;2000
Ator e Diretor de Espetáculos Públicos;76;0,0002;2000
Atuário e Matemático;6;0;2000
Auxiliar de Laboratório;370;0,001;2000
BANCARIO E ECONOMIARIO;1544;0,0042;2000
Bibliotecário, Arquivista, Museólogo E Arqueólogo;48;0,0001;2000
Biólogo e Biomédico;118;0,0003;2000
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;213;0,0006;2000
CHEFE INTERMEDIARIO;145;0,0004;2000
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;1362;0,0037;2000
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;2205;0,006;2000
Cantor e Compositor;156;0,0004;2000
Capitalista de Ativos Financeiros;23;0,0001;2000
Comandante de Embarcações;14;0;2000
Comissario de Bordo;7;0;2000
Comunicólogo;61;0,0002;2000
Contador;1870;0,0051;2000
Contramestre de Embarcações;18;0;2000
Coreógrafo e Bailarino;18;0;2000
DECORADOR;68;0,0002;2000
DELEGADO DE POLICIA;242;0,0007;2000
DEMONSTRADOR;13;0;2000
DIPLOMATA;1;0;2000
DIRETOR DE EMPRESAS;333;0,0009;2000
DONA DE CASA;9171;0,0249;2000
Desenhista Comercial;121;0,0003;2000
Desenhista Industrial;32;0,0001;2000
Desenhista Técnico;154;0,0004;2000
Despachante, Inclusive o Aduaneiro;434;0,0012;2000
Diretor de Estabelecimento de Ensino;299;0,0008;2000
Economista;425;0,0012;2000
Eletricista de Manutenção de Veículos Automotores e Aparelhos;270;0,0007;2000
Eletricista e Assemelhados;1991;0,0054;2000
Empregado Doméstico;1242;0,0034;2000
Empresário e Produtor de Espetáculos Públicos;1565;0,0042;2000
Enfermeiro e Nutricionista;2069;0,0056;2000
Engenheiro;1706;0,0046;2000
Escultor, Pintor e Assemelhados;361;0,001;2000
Espólio;1;0;2000
Estatístico;6;0;2000
Estivador, Carregador, Embalador e Assemelhados;193;0,0005;2000
Estudante, Bolsista, Estagiário e Assemelhados;6320;0,0171;2000
FEIRANTE;245;0,0007;2000
FISCAL;350;0,0009;2000
Farmacêutico;338;0,0009;2000
Fisioterapeuta e Terapeuta Ocupacional;144;0,0004;2000
Fonoaudiólogo;10;0;2000
Funcionário Público Civil Aposentado;2202;0,006;2000
Físico;2;0;2000
GERENTE;1033;0,0028;2000
Garimpeiro;160;0,0004;2000
Geógrafo;24;0,0001;2000
Geólogo;26;0,0001;2000
Governanta de Hotel, Camareiro, Porteiro, Cozinheiro e Garcom;404;0,0011;2000
JORNALEIRO;57;0,0002;2000
Joalheiros e Ourives;64;0,0002;2000
Jornalista;572;0,0016;2000
LEILOEIRO, AVALIADOR E ASSEMELHADOS;15;0;2000
Lanterneiro e Pintor de Veículos Metálicos;263;0,0007;2000
Locutor e Comentarista de Rádio e Televisão e Radialista;1520;0,0041;2000
MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;56;0,0002;2000
MEMBROS DO PODER LEGISLATIVO: SENADOR, DEPUTADOS E VEREADOR;4451;0,0121;2000
MILITAR EM GERAL;3503;0,0095;2000
MODELO DE MODAS;24;0,0001;2000
Maquinista e Foguista de Embarcações, Locomotivas e Assemelhados;93;0,0003;2000
Marinheiro e Assemelhados;125;0,0003;2000
Mecanico de Manutenção de Veículos Automotores e Máquinas;3093;0,0084;2000
Mecânico de Manutenção, Operador de Aparelhos de Produção Industrial;861;0,0023;2000
Membros do Poder Judiciário: Ministro de Tribunal Superior, Magistrado;10;0;2000
Mestre e Contramestre;232;0,0006;2000
Militar Reformado;1216;0,0033;2000
Motorista de Veículos de Transporte de Carga;6159;0,0167;2000
Motorista de Veículos de Transporte de Passageiros;12268;0,0333;2000
Médico;2760;0,0075;2000
Músico;602;0,0016;2000
OCUPANTE DE CARGO DE DIRECAO E ASSESSORAMENTO INTERMEDIARIO;94;0,0003;2000
OCUPANTE DE CARGO DE DIRECAO E ASSESSORAMENTO SUPERIOR;482;0,0013;2000
OFICIAIS DAS FORCAS ARMADAS E FORCAS AUXILIARES;53;0,0001;2000
Odontólogo;1130;0,0031;2000
Operador de Câmeras de Cinema e Televisão;65;0,0002;2000
PROCURADOR E ASSEMELHADOS;29;0,0001;2000
Pensionista;298;0,0008;2000
Piloto de Aeronaves;22;0,0001;2000
Porteiro de Edifício, Ascensorista, Garagista e Faxineiro;439;0,0012;2000
Professor de Ensino Superior;2963;0,008;2000
Professor de Ensino de Primeiro e Segundo Graus;19788;0,0537;2000
Profissionais de Letras e de Artes;92;0,0002;2000
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;6095;0,0165;2000
Proprietário de Estabelecimento Comercial;33546;0,091;2000
Proprietário de Estabelecimento Industrial;1052;0,0029;2000
Proprietário de Estabelecimento de Prestação de Servicos;522;0,0014;2000
Proprietário de Imóvel, Recebendo Rendimento de Aluguel;47;0,0001;2000
Proprietário de Microempresa;2334;0,0063;2000
Protético;387;0,0011;2000
Psicólogo;253;0,0007;2000
Publicitário;373;0,001;2000
Químico;125;0,0003;2000
Relações Públicas;133;0,0004;2000
SECRETARIO, ESTENOGRAFO, DATILOGRAFO, RECEPCIONISTA, TELEFONISTA, ETC;1363;0,0037;2000
SECURITARIO;91;0,0002;2000
SERVENTUARIO DE JUSTICA;477;0,0013;2000
SERVIDOR PUBLICO ESTADUAL;9866;0,0268;2000
SERVIDOR PUBLICO FEDERAL;2249;0,0061;2000
SERVIDOR PUBLICO MUNICIPAL;18516;0,0502;2000
SUPERVISORES, INSPETOR E AGENTE DE COMPRAS E VENDAS;331;0,0009;2000
Sacerdote ou Membro de Ordens ou Seitas Religiosas;863;0,0023;2000
Sociólogo;77;0,0002;2000
TABELIAO;86;0,0002;2000
TRABALHADOR DOS SERVICOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;221;0,0006;2000
Tecnólogo;62;0,0002;2000
Trabalhador Agrícola;48896;0,1327;2000
Trabalhador Florestal;92;0,0002;2000
Trabalhador Metalúrgico E Siderúrgico;1137;0,0031;2000
Trabalhador da Pecuária;2257;0,0061;2000
Trabalhador da Pesca;714;0,0019;2000
Trabalhador de Artes Gráficas;210;0,0006;2000
Trabalhador de Construção Civil;7180;0,0195;2000
Trabalhador de Fabricação de Artefatos de Madeira;1143;0,0031;2000
Trabalhador de Fabricação de Calçaados e Artefatos de Couro;405;0,0011;2000
Trabalhador de Fabricação de Papel e Papelão;75;0,0002;2000
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);207;0,0006;2000
Trabalhador de Fabricação de Produtos de Borracha e Plástico;48;0,0001;2000
Trabalhador de Fabricação de Roupas;576;0,0016;2000
Trabalhador de Fabricação e Preparação de Alimentos e Bebidas;514;0,0014;2000
Trabalhador de Instalações de Processamento Químico;59;0,0002;2000
Trabalhador de Tratamento de Fumo e de Fabricação de Cigarros/Charutos;7;0;2000
Trabalhador de Usinagem de Metais;326;0,0009;2000
Técnico de Biologia;7;0;2000
