Ano;Nível;Unidade da Federação;Total;Branca;Preta;Amarela;Parda;Indígena;Sem declaração
2010;UF;Rondônia;1562409;546534;106324;22643;871401;13620;1886
2010;UF;Acre;733559;171257;41547;14404;490507;15704;139
2010;UF;Amazonas;3483985;739114;142564;31837;2403294;167122;55
2010;UF;Roraima;450479;94146;27168;4338;274441;50385;-
2010;UF;Pará;7581051;1637544;533848;69412;5300812;38134;1302
2010;UF;Amapá;669526;159161;56205;7050;439762;7344;3
2010;UF;Tocantins;1383445;338388;125847;27036;879318;12843;13
2010;UF;Maranhão;6574789;1437656;632138;74265;4396274;34339;117
2010;UF;Piauí;3118360;755485;289692;66163;2003658;3362;-
2010;UF;Ceará;8452381;2674841;385207;103879;5268305;19987;162
2010;UF;Rio Grande do Norte;3168027;1293931;165807;33857;1671286;2788;358
2010;UF;Paraíba;3766528;1494248;211359;46631;1994319;19490;482
2010;UF;Pernambuco;8796448;3209058;563764;83569;4886026;53654;377
2010;UF;Alagoas;3120494;968288;206030;35183;1897214;13773;7
2010;UF;Sergipe;2068017;573856;183345;26515;1278633;5322;346
2010;UF;Bahia;14016906;3080929;2376441;161502;8335917;56742;5375
2010;UF;Minas Gerais;19597330;8830978;1807526;187869;8736860;31601;2496
2010;UF;Espírito Santo;3514952;1478367;292520;22159;1712167;9637;101
2010;UF;Rio de Janeiro;15989929;7579023;1937291;122552;6332408;15258;3397
2010;UF;São Paulo;41262199;26264150;2244326;570150;12122836;44800;15937
2010;UF;Paraná;10444526;7317309;328949;124279;2647895;25787;307
2010;UF;Santa Catarina;6248436;5239538;178469;25726;787902;16242;559
2010;UF;Rio Grande do Sul;10693929;8899357;587888;35590;1137823;33153;118
2010;UF;Mato Grosso do Sul;2449024;1147284;119442;29433;1080641;72102;122
2010;UF;Mato Grosso;3035122;1128086;225627;35834;1601177;43226;1172
2010;UF;Goiás;6003788;2487674;387673;100797;3019262;8016;366
2010;UF;Distrito Federal;2570160;1075079;194163;42679;1250315;7070;854
