Ano;Nível;Unidade da Federação;Total;Homens;Mulheres
2010;UF;Rondônia;1562409;795157;767252
2010;UF;Acre;733559;368324;365235
2010;UF;Amazonas;3483985;1753179;1730806
2010;UF;Roraima;450479;228859;221620
2010;UF;Pará;7581051;3821837;3759214
2010;UF;Amapá;669526;335135;334391
2010;UF;Tocantins;1383445;702424;681021
2010;UF;Maranhão;6574789;3261515;3313274
2010;UF;Piauí;3118360;1528422;1589938
2010;UF;Ceará;8452381;4120088;4332293
2010;UF;Rio Grande do Norte;3168027;1548887;1619140
2010;UF;Paraíba;3766528;1824379;1942149
2010;UF;Pernambuco;8796448;4230681;4565767
2010;UF;Alagoas;3120494;1511767;1608727
2010;UF;Sergipe;2068017;1005041;1062976
2010;UF;Bahia;14016906;6878266;7138640
2010;UF;Minas Gerais;19597330;9641877;9955453
2010;UF;Espírito Santo;3514952;1731218;1783734
2010;UF;Rio de Janeiro;15989929;7625679;8364250
2010;UF;São Paulo;41262199;20077873;21184326
2010;UF;Paraná;10444526;5130994;5313532
2010;UF;Santa Catarina;6248436;3100360;3148076
2010;UF;Rio Grande do Sul;10693929;5205057;5488872
2010;UF;Mato Grosso do Sul;2449024;1219928;1229096
2010;UF;Mato Grosso;3035122;1549536;1485586
2010;UF;Goiás;6003788;2981627;3022161
2010;UF;Distrito Federal;2570160;1228880;1341280
