Ano;Nível;Unidade da Federação;Sexo;Total
2022;UF;Rondônia;Total;1158795
2022;UF;Rondônia;Homens;573640
2022;UF;Rondônia;Mulheres;585156
2022;UF;Acre;Total;560735
2022;UF;Acre;Homens;277765
2022;UF;Acre;Mulheres;282971
2022;UF;Amazonas;Total;2640845
2022;UF;Amazonas;Homens;1304284
2022;UF;Amazonas;Mulheres;1336561
2022;UF;Roraima;Total;415564
2022;UF;Roraima;Homens;206923
2022;UF;Roraima;Mulheres;208641
2022;UF;Pará;Total;5683463
2022;UF;Pará;Homens;2810366
2022;UF;Pará;Mulheres;2873097
2022;UF;Amapá;Total;494765
2022;UF;Amapá;Homens;242503
2022;UF;Amapá;Mulheres;252262
2022;UF;Tocantins;Total;1084747
2022;UF;Tocantins;Homens;539746
2022;UF;Tocantins;Mulheres;545002
2022;UF;Maranhão;Total;4755664
2022;UF;Maranhão;Homens;2300089
2022;UF;Maranhão;Mulheres;2455575
2022;UF;Piauí;Total;2432318
2022;UF;Piauí;Homens;1172305
2022;UF;Piauí;Mulheres;1260013
2022;UF;Ceará;Total;6599653
2022;UF;Ceará;Homens;3137068
2022;UF;Ceará;Mulheres;3462585
2022;UF;Rio Grande do Norte;Total;2498399
2022;UF;Rio Grande do Norte;Homens;1188170
2022;UF;Rio Grande do Norte;Mulheres;1310229
2022;UF;Paraíba;Total;2969256
2022;UF;Paraíba;Homens;1404492
2022;UF;Paraíba;Mulheres;1564764
2022;UF;Pernambuco;Total;6754615
2022;UF;Pernambuco;Homens;3146779
2022;UF;Pernambuco;Mulheres;3607836
2022;UF;Alagoas;Total;2261226
2022;UF;Alagoas;Homens;1056181
2022;UF;Alagoas;Mulheres;1205045
2022;UF;Sergipe;Total;1634445
2022;UF;Sergipe;Homens;764960
2022;UF;Sergipe;Mulheres;869484
2022;UF;Bahia;Total;10642642
2022;UF;Bahia;Homens;5055970
2022;UF;Bahia;Mulheres;5586671
2022;UF;Minas Gerais;Total;16020595
2022;UF;Minas Gerais;Homens;7712170
2022;UF;Minas Gerais;Mulheres;8308425
2022;UF;Espírito Santo;Total;2939602
2022;UF;Espírito Santo;Homens;1413892
2022;UF;Espírito Santo;Mulheres;1525709
2022;UF;Rio de Janeiro;Total;12584899
2022;UF;Rio de Janeiro;Homens;5810817
2022;UF;Rio de Janeiro;Mulheres;6774081
2022;UF;São Paulo;Total;34722977
2022;UF;São Paulo;Homens;16452381
2022;UF;São Paulo;Mulheres;18270596
2022;UF;Paraná;Total;8790454
2022;UF;Paraná;Homens;4225545
2022;UF;Paraná;Mulheres;4564909
2022;UF;Santa Catarina;Total;5905037
2022;UF;Santa Catarina;Homens;2876282
2022;UF;Santa Catarina;Mulheres;3028755
2022;UF;Rio Grande do Sul;Total;8576361
2022;UF;Rio Grande do Sul;Homens;4078283
2022;UF;Rio Grande do Sul;Mulheres;4498079
2022;UF;Mato Grosso do Sul;Total;2031060
2022;UF;Mato Grosso do Sul;Homens;986738
2022;UF;Mato Grosso do Sul;Mulheres;1044322
2022;UF;Mato Grosso;Total;2666051
2022;UF;Mato Grosso;Homens;1334937
2022;UF;Mato Grosso;Mulheres;1331114
2022;UF;Goiás;Total;5323988
2022;UF;Goiás;Homens;2585630
2022;UF;Goiás;Mulheres;2738358
2022;UF;Distrito Federal;Total;2161332
2022;UF;Distrito Federal;Homens;1009251
2022;UF;Distrito Federal;Mulheres;1152081
