Ano;Nível;Unidade da Federação;Total;Sem instrução e fundamental incompleto;Fundamental completo e médio incompleto;Médio completo e superior incompleto;Superior completo
2022;UF;Rondônia;1158795;460135;185962;348066;164632
2022;UF;Acre;560735;207229;89245;179961;84300
2022;UF;Amazonas;2640845;780213;444780;1073286;342566
2022;UF;Roraima;415564;117145;62731;168642;67045
2022;UF;Pará;5683463;2190365;1017261;1874741;601096
2022;UF;Amapá;494765;140934;76974;187665;89191
2022;UF;Tocantins;1084747;360200;153362;394849;176336
2022;UF;Maranhão;4755664;1912720;765623;1608640;468681
2022;UF;Piauí;2432318;1068108;352968;706287;304955
2022;UF;Ceará;6599653;2525278;1024148;2290925;759303
2022;UF;Rio Grande do Norte;2498399;976036;381770;800681;339913
2022;UF;Paraíba;2969256;1277949;402890;897675;390742
2022;UF;Pernambuco;6754615;2610842;918494;2372798;852481
2022;UF;Alagoas;2261226;986137;337573;669520;267996
2022;UF;Sergipe;1634445;655867;240237;520086;218255
2022;UF;Bahia;10642642;4303753;1576147;3616133;1146608
2022;UF;Minas Gerais;16020595;5511555;2410542;5483064;2615434
2022;UF;Espírito Santo;2939602;941432;455221;1051848;491101
2022;UF;Rio de Janeiro;12584899;3222339;2084448;5034405;2243707
2022;UF;São Paulo;34722977;8420318;5131662;13692410;7478587
2022;UF;Paraná;8790454;2702731;1324397;3075397;1687930
2022;UF;Santa Catarina;5905037;1628255;979585;2134682;1162515
2022;UF;Rio Grande do Sul;8576361;2756460;1468643;2862843;1488416
2022;UF;Mato Grosso do Sul;2031060;692125;335326;637360;366249
2022;UF;Mato Grosso;2666051;855516;466346;893925;450264
2022;UF;Goiás;5323988;1670576;852415;1921726;879270
2022;UF;Distrito Federal;2161332;378697;257912;808005;716719
