Brasil e Unidade da Federação;2002;2004;2006;2008;2012;2014;2016;2018;2020;2024
BR;174632960;181569056;186770562;189605006;193904015;202768562;206081432;208494900;211755692;212583750
RO;1431777;1562085;1562417;1493565;1590011;1748531;1787279;1757589;1796460;1746227
AC;586942;630328;686652;680075;758786;790101;816687;869265;894470;880631
AM;2961801;3138726;3311026;3341094;3590985;3873743;4001667;4080611;4207714;4281209
RR;346871;381896;403344;412783;469524;496936;514229;576568;631181;716793
PA;6453683;6850181;7110465;7321490;7777543;8073924;8272724;8513497;8690745;8664306
AP;516511;547400;615715;613166;698602;750912;782295;829494;861773;802837
TO;1207014;1262644;1332441;1280513;1417694;1496880;1532902;1555229;1590248;1577342
MA;5803224;6021504;6184538;6305537;6714314;6850884;6954036;7035055;7114598;7010960
PI;2898223;2974698;3036290;3111881;3160748;3194718;3212180;3264531;3281480;3375646
CE;7654535;7976563;8217085;8450528;8606005;8842791;8963663;9075649;9187103;9233656
RN;2852784;2962107;3043760;3106436;3228198;3408510;3474998;3479010;3534165;3446071
PB;3494893;3568350;3623215;3742604;3815171;3943885;3999415;3996496;4039277;4145040
PE;8084667;8323911;8502603;8734196;8931028;9277727;9410336;9496294;9616621;9539029
AL;2887535;2980910;3050652;3127560;3165472;3321730;3358963;3322820;3351543;3220104
SE;1846039;1934596;2000738;1999374;2110867;2219574;2265779;2278308;2318822;2291077
BA;13323212;13682074;13950146;14502563;14175341;15126371;15276566;14812617;14930634;14850513
MG;18343517;18993720;19479356;19850060;19855332;20734097;20997560;21040662;21292666;21322691
ES;3201722;3352024;3464285;3453646;3578067;3885049;3973697;3972388;4064052;4102129
RJ;14724475;15203750;15561720;15872362;16231365;16461173;16635996;17159960;17366189;17219679
SP;38177742;39825226;41055734;41011638;41901219;44035304;44749699;45538936;46289333;45973194
PR;9798006;10135388;10387378;10590171;10577755;11081692;11242720;11348937;11516840;11824665
SC;5527707;5774178;5958266;6052587;6362734;6727148;6910553;7075494;7252502;8058441
RS;10408540;10726063;10963219;10855228;10768025;11207274;11286500;11329605;11422973;11229915
MS;2140624;2227794;2297981;2336060;2500365;2619657;2682386;2748023;2809394;2901895
MT;2604742;2742646;2856999;2957735;3115336;3224357;3305531;3441998;3526220;3836399
GO;5210335;5508245;5730753;5844995;6154996;6523222;6695855;6921161;7113540;7350483
DF;2145839;2282049;2383784;2557159;2648532;2852372;2977216;2974703;3055149;2982818
