UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Branca;18;0,45;2024-11-13 10:55:17
AC;Parda;22;0,55;2024-11-13 10:55:17
AL;Branca;31;0,7045;2024-11-13 10:55:17
AL;Parda;13;0,2955;2024-11-13 10:55:17
AM;Branca;22;0,5789;2024-11-13 10:55:17
AM;Parda;16;0,4211;2024-11-13 10:55:17
AP;Branca;23;0,6053;2024-11-13 10:55:17
AP;Parda;13;0,3421;2024-11-13 10:55:17
AP;Preta;2;0,0526;2024-11-13 10:55:17
BA;Branca;59;0,5364;2024-11-13 10:55:17
BA;Parda;38;0,3455;2024-11-13 10:55:17
BA;Preta;13;0,1182;2024-11-13 10:55:17
CE;Branca;51;0,6711;2024-11-13 10:55:17
CE;Parda;23;0,3026;2024-11-13 10:55:17
CE;Preta;2;0,0263;2024-11-13 10:55:17
DF;Branca;25;0,6579;2024-11-13 10:55:17
DF;Parda;10;0,2632;2024-11-13 10:55:17
DF;Preta;3;0,0789;2024-11-13 10:55:17
ES;Branca;32;0,6667;2024-11-13 10:55:17
ES;Parda;12;0,25;2024-11-13 10:55:17
ES;Preta;4;0,0833;2024-11-13 10:55:17
GO;Branca;53;0,803;2024-11-13 10:55:17
GO;Parda;13;0,197;2024-11-13 10:55:17
MA;Branca;44;0,6471;2024-11-13 10:55:17
MA;Parda;21;0,3088;2024-11-13 10:55:17
MA;Preta;3;0,0441;2024-11-13 10:55:17
MG;Branca;111;0,8162;2024-11-13 10:55:17
MG;Parda;19;0,1397;2024-11-13 10:55:17
MG;Preta;6;0,0441;2024-11-13 10:55:17
MS;Branca;29;0,7632;2024-11-13 10:55:17
MS;Parda;8;0,2105;2024-11-13 10:55:17
MS;Preta;1;0,0263;2024-11-13 10:55:17
MT;Branca;30;0,8108;2024-11-13 10:55:17
MT;Parda;7;0,1892;2024-11-13 10:55:17
PA;Branca;32;0,5;2024-11-13 10:55:17
PA;Parda;29;0,4531;2024-11-13 10:55:17
PA;Preta;3;0,0469;2024-11-13 10:55:17
PB;Branca;37;0,6607;2024-11-13 10:55:17
PB;Parda;16;0,2857;2024-11-13 10:55:17
PB;Preta;3;0,0536;2024-11-13 10:55:17
PE;Branca;67;0,8171;2024-11-13 10:55:17
PE;Parda;12;0,1463;2024-11-13 10:55:17
PE;Preta;3;0,0366;2024-11-13 10:55:17
PI;Branca;28;0,5833;2024-11-13 10:55:17
PI;Parda;18;0,375;2024-11-13 10:55:17
PI;Preta;2;0,0417;2024-11-13 10:55:17
PR;Amarela;1;0,0109;2024-11-13 10:55:17
PR;Branca;84;0,913;2024-11-13 10:55:17
PR;Parda;6;0,0652;2024-11-13 10:55:17
PR;Preta;1;0,0109;2024-11-13 10:55:17
RJ;Branca;85;0,6967;2024-11-13 10:55:17
RJ;Parda;27;0,2213;2024-11-13 10:55:17
RJ;Preta;10;0,082;2024-11-13 10:55:17
RN;Branca;28;0,7368;2024-11-13 10:55:17
RN;Parda;8;0,2105;2024-11-13 10:55:17
RN;Preta;2;0,0526;2024-11-13 10:55:17
RO;Branca;19;0,5;2024-11-13 10:55:17
RO;Parda;16;0,4211;2024-11-13 10:55:17
RO;Preta;3;0,0789;2024-11-13 10:55:17
RR;Branca;14;0,3684;2024-11-13 10:55:17
RR;Indígena;1;0,0263;2024-11-13 10:55:17
RR;Parda;22;0,5789;2024-11-13 10:55:17
RR;Preta;1;0,0263;2024-11-13 10:55:17
RS;Branca;89;0,9674;2024-11-13 10:55:17
RS;Parda;1;0,0109;2024-11-13 10:55:17
RS;Preta;2;0,0217;2024-11-13 10:55:17
SC;Branca;59;0,9516;2024-11-13 10:55:17
SC;Parda;2;0,0323;2024-11-13 10:55:17
SC;Preta;1;0,0161;2024-11-13 10:55:17
SE;Branca;21;0,5526;2024-11-13 10:55:17
SE;Parda;17;0,4474;2024-11-13 10:55:17
SP;Amarela;2;0,0118;2024-11-13 10:55:17
SP;Branca;154;0,9059;2024-11-13 10:55:17
SP;Parda;7;0,0412;2024-11-13 10:55:17
SP;Preta;7;0,0412;2024-11-13 10:55:17
TO;Branca;21;0,525;2024-11-13 10:55:17
TO;Parda;17;0,425;2024-11-13 10:55:17
TO;Preta;2;0,05;2024-11-13 10:55:17
