UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
RN;Indígena;22;0,0029;2025-05-19 16:30:25
TO;Amarela;34;0,0047;2025-05-19 16:30:25
TO;Indígena;63;0,0088;2025-05-19 16:30:25
AC;Preta;246;0,1064;2025-05-19 16:30:25
CE;Branca;4230;0,3201;2025-05-19 16:30:25
GO;Indígena;23;0,0012;2025-05-19 16:30:25
GO;Não Informado;232;0,0116;2025-05-19 16:30:25
MS;Indígena;238;0,0323;2025-05-19 16:30:25
MT;Indígena;129;0,0116;2025-05-19 16:30:25
PR;Não Informado;293;0,0086;2025-05-19 16:30:25
BA;Branca;6391;0,1816;2025-05-19 16:30:25
MG;Indígena;111;0,0015;2025-05-19 16:30:25
AP;Amarela;6;0,0038;2025-05-19 16:30:25
CE;Não Informado;48;0,0036;2025-05-19 16:30:25
PA;Amarela;76;0,0042;2025-05-19 16:30:25
RS;Branca;24631;0,8488;2025-05-19 16:30:25
PE;Indígena;153;0,0095;2025-05-19 16:30:25
PE;Não Informado;159;0,0099;2025-05-19 16:30:25
SE;Branca;1218;0,2182;2025-05-19 16:30:25
SE;Indígena;9;0,0016;2025-05-19 16:30:25
SE;Preta;756;0,1354;2025-05-19 16:30:25
SP;Branca;51545;0,6584;2025-05-19 16:30:25
TO;Parda;4515;0,6278;2025-05-19 16:30:25
AL;Preta;434;0,0744;2025-05-19 16:30:25
RS;Indígena;132;0,0045;2025-05-19 16:30:25
MG;Branca;32852;0,4473;2025-05-19 16:30:25
RJ;Parda;5576;0,3171;2025-05-19 16:30:25
SP;Preta;7671;0,098;2025-05-19 16:30:25
BA;Indígena;169;0,0048;2025-05-19 16:30:25
ES;Branca;4468;0,4533;2025-05-19 16:30:25
ES;Não Informado;21;0,0021;2025-05-19 16:30:25
MG;Não Informado;495;0,0067;2025-05-19 16:30:25
MG;Parda;29638;0,4035;2025-05-19 16:30:25
PB;Amarela;35;0,0034;2025-05-19 16:30:25
SE;Não Informado;18;0,0032;2025-05-19 16:30:25
TO;Não Informado;24;0,0033;2025-05-19 16:30:25
TO;Preta;1167;0,1623;2025-05-19 16:30:25
AC;Branca;336;0,1454;2025-05-19 16:30:25
AP;Preta;234;0,1466;2025-05-19 16:30:25
PI;Indígena;11;0,0012;2025-05-19 16:30:25
PI;Não Informado;20;0,0022;2025-05-19 16:30:25
PI;Preta;1085;0,1209;2025-05-19 16:30:25
AM;Não Informado;70;0,0086;2025-05-19 16:30:25
BA;Amarela;111;0,0032;2025-05-19 16:30:25
MG;Não divulgável;17;0,0002;2025-05-19 16:30:25
RJ;Indígena;24;0,0014;2025-05-19 16:30:25
MS;Preta;653;0,0886;2025-05-19 16:30:25
RR;Amarela;7;0,0052;2025-05-19 16:30:25
RR;Não Informado;1;0,0007;2025-05-19 16:30:25
SC;Indígena;74;0,0038;2025-05-19 16:30:25
ES;Parda;4015;0,4073;2025-05-19 16:30:25
MA;Branca;3453;0,2051;2025-05-19 16:30:25
AP;Parda;1074;0,6729;2025-05-19 16:30:25
MT;Preta;1226;0,1105;2025-05-19 16:30:25
PA;Parda;12538;0,6932;2025-05-19 16:30:25
PI;Amarela;44;0,0049;2025-05-19 16:30:25
PR;Amarela;134;0,0039;2025-05-19 16:30:25
RO;Amarela;30;0,0062;2025-05-19 16:30:25
BA;Parda;20653;0,5867;2025-05-19 16:30:25
MA;Não Informado;168;0,01;2025-05-19 16:30:25
MG;Amarela;255;0,0035;2025-05-19 16:30:25
PE;Preta;1841;0,1146;2025-05-19 16:30:25
SP;Amarela;329;0,0042;2025-05-19 16:30:25
AC;Não Informado;2;0,0009;2025-05-19 16:30:25
AC;Parda;1635;0,7075;2025-05-19 16:30:25
AL;Indígena;50;0,0086;2025-05-19 16:30:25
CE;Indígena;37;0,0028;2025-05-19 16:30:25
CE;Preta;929;0,0703;2025-05-19 16:30:25
GO;Parda;10359;0,5188;2025-05-19 16:30:25
MS;Amarela;57;0,0077;2025-05-19 16:30:25
MT;Parda;5768;0,5196;2025-05-19 16:30:25
RO;Preta;522;0,1071;2025-05-19 16:30:25
RR;Parda;856;0,6364;2025-05-19 16:30:25
RS;Amarela;25;0,0009;2025-05-19 16:30:25
SC;Branca;16574;0,8448;2025-05-19 16:30:25
AM;Amarela;24;0,003;2025-05-19 16:30:25
MA;Preta;2209;0,1312;2025-05-19 16:30:25
PB;Indígena;82;0,008;2025-05-19 16:30:25
PE;Parda;8206;0,5109;2025-05-19 16:30:25
SE;Amarela;33;0,0059;2025-05-19 16:30:25
AC;Amarela;15;0,0065;2025-05-19 16:30:25
GO;Amarela;166;0,0083;2025-05-19 16:30:25
RS;Preta;1827;0,063;2025-05-19 16:30:25
SC;Não Informado;36;0,0018;2025-05-19 16:30:25
AM;Branca;1015;0,1252;2025-05-19 16:30:25
PB;Preta;908;0,0887;2025-05-19 16:30:25
RJ;Amarela;33;0,0019;2025-05-19 16:30:25
AL;Não Informado;44;0,0075;2025-05-19 16:30:25
CE;Amarela;60;0,0045;2025-05-19 16:30:25
GO;Preta;2087;0,1045;2025-05-19 16:30:25
MT;Branca;3829;0,345;2025-05-19 16:30:25
PR;Não divulgável;24;0,0007;2025-05-19 16:30:25
PR;Preta;2264;0,0666;2025-05-19 16:30:25
RO;Indígena;38;0,0078;2025-05-19 16:30:25
RR;Indígena;181;0,1346;2025-05-19 16:30:25
AM;Parda;6053;0,7464;2025-05-19 16:30:25
MG;Preta;10076;0,1372;2025-05-19 16:30:25
PB;Branca;3992;0,3901;2025-05-19 16:30:25
RJ;Preta;3224;0,1834;2025-05-19 16:30:25
RN;Preta;739;0,0961;2025-05-19 16:30:25
AL;Amarela;27;0,0046;2025-05-19 16:30:25
AP;Indígena;20;0,0125;2025-05-19 16:30:25
CE;Parda;7909;0,5986;2025-05-19 16:30:25
MS;Não Informado;15;0,002;2025-05-19 16:30:25
PA;Preta;2064;0,1141;2025-05-19 16:30:25
PI;Branca;2237;0,2492;2025-05-19 16:30:25
RR;Preta;88;0,0654;2025-05-19 16:30:25
RS;Não Informado;51;0,0018;2025-05-19 16:30:25
SC;Parda;2052;0,1046;2025-05-19 16:30:25
ES;Indígena;18;0,0018;2025-05-19 16:30:25
PB;Não Informado;40;0,0039;2025-05-19 16:30:25
PB;Parda;5177;0,5059;2025-05-19 16:30:25
PE;Branca;5651;0,3518;2025-05-19 16:30:25
SP;Não divulgável;1;0;2025-05-19 16:30:25
TO;Branca;1389;0,1931;2025-05-19 16:30:25
AC;Indígena;77;0,0333;2025-05-19 16:30:25
AP;Não Informado;2;0,0013;2025-05-19 16:30:25
GO;Branca;7100;0,3556;2025-05-19 16:30:25
PA;Branca;3162;0,1748;2025-05-19 16:30:25
RO;Branca;1458;0,2991;2025-05-19 16:30:25
RO;Não Informado;19;0,0039;2025-05-19 16:30:25
MA;Amarela;71;0,0042;2025-05-19 16:30:25
SE;Parda;3548;0,6356;2025-05-19 16:30:25
SP;Indígena;86;0,0011;2025-05-19 16:30:25
AL;Branca;1836;0,3147;2025-05-19 16:30:25
RR;Branca;212;0,1576;2025-05-19 16:30:25
RS;Parda;2354;0,0811;2025-05-19 16:30:25
SC;Preta;863;0,044;2025-05-19 16:30:25
AM;Indígena;572;0,0705;2025-05-19 16:30:25
AM;Preta;376;0,0464;2025-05-19 16:30:25
BA;Não Informado;222;0,0063;2025-05-19 16:30:25
BA;Preta;7655;0,2175;2025-05-19 16:30:25
MA;Não divulgável;1;0,0001;2025-05-19 16:30:25
RN;Branca;3242;0,4218;2025-05-19 16:30:25
RN;Parda;3595;0,4677;2025-05-19 16:30:25
AP;Branca;260;0,1629;2025-05-19 16:30:25
MS;Branca;3587;0,4868;2025-05-19 16:30:25
MS;Parda;2818;0,3825;2025-05-19 16:30:25
MT;Amarela;75;0,0068;2025-05-19 16:30:25
PA;Indígena;126;0,007;2025-05-19 16:30:25
PR;Branca;23683;0,6964;2025-05-19 16:30:25
RO;Parda;2807;0,5759;2025-05-19 16:30:25
ES;Preta;1307;0,1326;2025-05-19 16:30:25
RJ;Branca;8665;0,4928;2025-05-19 16:30:25
RN;Não Informado;43;0,0056;2025-05-19 16:30:25
SP;Não Informado;489;0,0062;2025-05-19 16:30:25
AL;Parda;3443;0,5902;2025-05-19 16:30:25
PA;Não Informado;121;0,0067;2025-05-19 16:30:25
PI;Parda;5581;0,6216;2025-05-19 16:30:25
PR;Parda;7549;0,222;2025-05-19 16:30:25
SC;Amarela;20;0,001;2025-05-19 16:30:25
ES;Amarela;28;0,0028;2025-05-19 16:30:25
MA;Indígena;71;0,0042;2025-05-19 16:30:25
MA;Parda;10862;0,6452;2025-05-19 16:30:25
PE;Amarela;51;0,0032;2025-05-19 16:30:25
RJ;Não Informado;57;0,0032;2025-05-19 16:30:25
RJ;Não divulgável;3;0,0002;2025-05-19 16:30:25
RN;Amarela;45;0,0059;2025-05-19 16:30:25
SP;Parda;18168;0,2321;2025-05-19 16:30:25
MT;Não Informado;73;0,0066;2025-05-19 16:30:25
PR;Indígena;62;0,0018;2025-05-19 16:30:25
