UF;Gênero;Quantitativo;Porcentagem;Data de carga
ES;Feminino;1376;0,1994;2023-03-01 15:39:11
RR;Feminino;290;0,2243;2023-03-01 15:39:11
AM;Masculino;5193;0,7948;2023-03-01 15:39:11
MG;Feminino;11606;0,1948;2023-03-01 15:39:11
RJ;Feminino;3611;0,2364;2023-03-01 15:39:11
SE;Masculino;3565;0,775;2023-03-01 15:39:11
CE;Masculino;8895;0,7872;2023-03-01 15:39:11
PB;Masculino;7756;0,7868;2023-03-01 15:39:11
PE;Feminino;2760;0,2009;2023-03-01 15:39:11
AL;Feminino;1487;0,2258;2023-03-01 15:39:11
PI;Masculino;6881;0,8089;2023-03-01 15:39:11
BA;Feminino;6034;0,2044;2023-03-01 15:39:11
PB;Feminino;2102;0,2132;2023-03-01 15:39:11
ES;Masculino;5526;0,8006;2023-03-01 15:39:11
SP;Feminino;14811;0,2347;2023-03-01 15:39:11
SP;Masculino;48298;0,7653;2023-03-01 15:39:11
MS;Feminino;1300;0,2451;2023-03-01 15:39:11
SC;Masculino;11647;0,813;2023-03-01 15:39:11
TO;Feminino;1520;0,2209;2023-03-01 15:39:11
AL;Masculino;5098;0,7742;2023-03-01 15:39:11
CE;Feminino;2404;0,2128;2023-03-01 15:39:11
PA;Feminino;3164;0,2265;2023-03-01 15:39:11
SC;Feminino;2679;0,187;2023-03-01 15:39:11
AC;Masculino;1227;0,8126;2023-03-01 15:39:11
RS;Masculino;18577;0,7969;2023-03-01 15:39:11
BA;Masculino;23485;0,7956;2023-03-01 15:39:11
MG;Masculino;47987;0,8052;2023-03-01 15:39:11
RN;Feminino;1551;0,2214;2023-03-01 15:39:11
PA;Masculino;10803;0,7735;2023-03-01 15:39:11
RS;Feminino;4735;0,2031;2023-03-01 15:39:11
AM;Feminino;1341;0,2052;2023-03-01 15:39:11
MA;Feminino;3699;0,237;2023-03-01 15:39:11
AC;Feminino;283;0,1874;2023-03-01 15:39:11
GO;Feminino;3241;0,2059;2023-03-01 15:39:11
MT;Feminino;1838;0,2081;2023-03-01 15:39:11
PR;Masculino;20654;0,7957;2023-03-01 15:39:11
RO;Masculino;3556;0,7802;2023-03-01 15:39:11
PE;Masculino;10977;0,7991;2023-03-01 15:39:11
SE;Feminino;1035;0,225;2023-03-01 15:39:11
RO;Feminino;1002;0,2198;2023-03-01 15:39:11
MA;Masculino;11909;0,763;2023-03-01 15:39:11
RN;Masculino;5456;0,7786;2023-03-01 15:39:11
PI;Feminino;1626;0,1911;2023-03-01 15:39:11
PR;Feminino;5303;0,2043;2023-03-01 15:39:11
AP;Feminino;356;0,2358;2023-03-01 15:39:11
GO;Masculino;12501;0,7941;2023-03-01 15:39:11
MS;Masculino;4005;0,7549;2023-03-01 15:39:11
RR;Masculino;1003;0,7757;2023-03-01 15:39:11
RJ;Masculino;11667;0,7636;2023-03-01 15:39:11
TO;Masculino;5360;0,7791;2023-03-01 15:39:11
AP;Masculino;1154;0,7642;2023-03-01 15:39:11
MT;Masculino;6993;0,7919;2023-03-01 15:39:11
