UF;Gênero;Quantitativo;Porcentagem;Data de carga
AC;Feminino;54;0,1978;2025-01-22 15:04:00
AC;Masculino;219;0,8022;2025-01-22 15:04:00
AL;Feminino;218;0,1695;2025-01-22 15:04:00
AL;Masculino;1068;0,8305;2025-01-22 15:04:00
AM;Feminino;147;0,1713;2025-01-22 15:04:00
AM;Masculino;711;0,8287;2025-01-22 15:04:00
AP;Feminino;38;0,1863;2025-01-22 15:04:00
AP;Masculino;166;0,8137;2025-01-22 15:04:00
BA;Feminino;733;0,1346;2025-01-22 15:04:00
BA;Masculino;4714;0,8654;2025-01-22 15:04:00
CE;Feminino;487;0,1914;2025-01-22 15:04:00
CE;Masculino;2057;0,8086;2025-01-22 15:04:00
ES;Feminino;107;0,1064;2025-01-22 15:04:00
ES;Masculino;899;0,8936;2025-01-22 15:04:00
GO;Feminino;431;0,1435;2025-01-22 15:04:00
GO;Masculino;2573;0,8565;2025-01-22 15:04:00
MA;Feminino;573;0,2006;2025-01-22 15:04:00
MA;Masculino;2284;0,7994;2025-01-22 15:04:00
MG;Feminino;1350;0,1328;2025-01-22 15:04:00
MG;Masculino;8812;0,8672;2025-01-22 15:04:00
MS;Feminino;179;0,1795;2025-01-22 15:04:00
MS;Masculino;818;0,8205;2025-01-22 15:04:00
MT;Feminino;268;0,1597;2025-01-22 15:04:00
MT;Masculino;1410;0,8403;2025-01-22 15:04:00
PA;Feminino;346;0,1693;2025-01-22 15:04:00
PA;Masculino;1698;0,8307;2025-01-22 15:04:00
PB;Feminino;449;0,1696;2025-01-22 15:04:00
PB;Masculino;2198;0,8304;2025-01-22 15:04:00
PE;Feminino;366;0,146;2025-01-22 15:04:00
PE;Masculino;2141;0,854;2025-01-22 15:04:00
PI;Feminino;506;0,1957;2025-01-22 15:04:00
PI;Masculino;2080;0,8043;2025-01-22 15:04:00
PR;Feminino;676;0,1451;2025-01-22 15:04:00
PR;Masculino;3983;0,8549;2025-01-22 15:04:00
RJ;Feminino;144;0,1067;2025-01-22 15:04:00
RJ;Masculino;1206;0,8933;2025-01-22 15:04:00
RN;Feminino;434;0,2188;2025-01-22 15:04:00
RN;Masculino;1550;0,7813;2025-01-22 15:04:00
RO;Feminino;75;0,1181;2025-01-22 15:04:00
RO;Masculino;560;0,8819;2025-01-22 15:04:00
RR;Feminino;29;0,1568;2025-01-22 15:04:00
RR;Masculino;156;0,8432;2025-01-22 15:04:00
RS;Feminino;1031;0,1754;2025-01-22 15:04:00
RS;Masculino;4848;0,8246;2025-01-22 15:04:00
SC;Feminino;576;0,1659;2025-01-22 15:04:00
SC;Masculino;2896;0,8341;2025-01-22 15:04:00
SE;Feminino;166;0,1742;2025-01-22 15:04:00
SE;Masculino;787;0,8258;2025-01-22 15:04:00
SP;Feminino;1259;0,154;2025-01-22 15:04:00
SP;Masculino;6916;0,846;2025-01-22 15:04:00
TO;Feminino;280;0,1767;2025-01-22 15:04:00
TO;Masculino;1305;0,8233;2025-01-22 15:04:00
